n,x,y,radius
3.900000000000000000e+01,-3.870676018450932565e-01,-9.759385167308786135e-01,1.049893955043545768e+00
4.000000000000000000e+01,-4.358645276816371927e-01,-9.565851366386239896e-01,1.051205503281385845e+00
4.100000000000000000e+01,-4.836937845135683700e-01,-9.347919102545421133e-01,1.052518689931154716e+00
4.200000000000000000e+01,-5.304333800262954757e-01,-9.106072210288637114e-01,1.053833517039589163e+00
4.300000000000000000e+01,-5.759637410777386224e-01,-8.840855520275489043e-01,1.055149986655982586e+00
4.400000000000000000e+01,-6.201680186791160843e-01,-8.552873649736619788e-01,1.056468100832188117e+00
4.500000000000000000e+01,-6.629323869277992110e-01,-8.242789640397061302e-01,1.057787861622622616e+00
4.600000000000000000e+01,-7.041463351297845286e-01,-7.911323446933161696e-01,1.059109271084268666e+00
4.700000000000000000e+01,-7.437029523644503870e-01,-7.559250279368269210e-01,1.060432331276679019e+00
4.800000000000000000e+01,-7.814992037612917830e-01,-7.187398803186043628e-01,1.061757044261979255e+00
4.900000000000000000e+01,-8.174361977772219845e-01,-6.796649201305398069e-01,1.063083412104870895e+00
5.000000000000000000e+01,-8.514194437837490081e-01,-6.387931102416787299e-01,1.064411436872634287e+00
5.100000000000000000e+01,-8.833590992958328947e-01,-5.962221380524912462e-01,1.065741120635133043e+00
5.200000000000000000e+01,-9.131702061984574570e-01,-5.520541830876996015e-01,1.067072465464815823e+00
5.300000000000000000e+01,-9.407729153528424648e-01,-5.063956727777767508e-01,1.068405473436720765e+00
5.400000000000000000e+01,-9.660926989917313357e-01,-4.593570270101346442e-01,1.069740146628477939e+00
5.500000000000000000e+01,-9.890605503422380540e-01,-4.110523920605480552e-01,1.071076487120312670e+00
5.600000000000000000e+01,-1.009613169945265509e+00,-3.615993645434361636e-01,1.072414496995049316e+00
5.700000000000000000e+01,-1.027693138172437237e+00,-3.111187060461728660e-01,1.073754178338113485e+00
5.800000000000000000e+01,-1.043249073474745936e+00,-2.597340491375509930e-01,1.075095533237536927e+00
5.900000000000000000e+01,-1.056235775931623433e+00,-2.075715954638137073e-01,1.076438563783958857e+00
6.000000000000000000e+01,-1.066614355704814221e+00,-1.547598066672325468e-01,1.077783272070630627e+00
6.100000000000000000e+01,-1.074352346038175865e+00,-1.014290888819918413e-01,1.079129660193418605e+00
6.200000000000000000e+01,-1.079423800482275375e+00,-4.771147158008304245e-02,1.080477730250807289e+00
6.300000000000000000e+01,-1.081809374061279527e+00,6.259718444030726303e-03,1.081827484343902190e+00
6.400000000000000000e+01,-1.081496388139078002e+00,6.035018714709470405e-02,1.083178924576434277e+00
6.500000000000000000e+01,-1.078478878781723216e+00,1.144250065540486083e-01,1.084532053054761969e+00
6.600000000000000000e+01,-1.072757628454020784e+00,1.683489504931347802e-01,1.085886871887875138e+00
6.700000000000000000e+01,-1.064340180929363999e+00,2.219868319158358194e-01,1.087243383187398882e+00
6.800000000000000000e+01,-1.053240839333572154e+00,2.752038409623039916e-01,1.088601589067594855e+00
6.900000000000000000e+01,-1.039480647285456971e+00,3.278658829289826104e-01,1.089961491645367264e+00
7.000000000000000000e+01,-1.023087353139007893e+00,3.798399152932554479e-01,1.091323093040263759e+00
7.100000000000000000e+01,-1.004095357374345188e+00,4.309942829502058648e-01,1.092686395374480757e+00
7.200000000000000000e+01,-9.825456432268349083e-01,4.811990508189231130e-01,1.094051400772864557e+00
7.300000000000000000e+01,-9.584856906858887360e-01,5.303263329802648807e-01,1.095418111362916891e+00
7.400000000000000000e+01,-9.319693740368755197e-01,5.782506175145593064e-01,1.096786529274796917e+00
7.500000000000000000e+01,-9.030568431611475377e-01,6.248490862164031157e-01,1.098156656641324336e+00
7.600000000000000000e+01,-8.718143888503273597e-01,6.700019283744604870e-01,1.099528495597983824e+00
7.700000000000000000e+01,-8.383142924316043798e-01,7.135926478169768439e-01,1.100902048282927703e+00
7.800000000000000000e+01,-8.026346600407555654e-01,7.555083624385570129e-01,1.102277316836978827e+00
7.900000000000000000e+01,-7.648592419188277036e-01,7.956400954405947745e-01,1.103654303403635017e+00
8.000000000000000000e+01,-7.250772371467979482e-01,8.338830575365361319e-01,1.105033010129071069e+00
8.100000000000000000e+01,-6.833830842699711861e-01,8.701369193938760516e-01,1.106413439162143852e+00
8.200000000000000000e+01,-6.398762383002774001e-01,9.043060736073745831e-01,1.107795592654393868e+00
8.300000000000000000e+01,-5.946609346199086543e-01,9.362998855223884087e-01,1.109179472760049245e+00
8.400000000000000000e+01,-5.478459403437891950e-01,9.660329322533838248e-01,1.110565081636029738e+00
8.500000000000000000e+01,-4.995442937311199705e-01,9.934252292705733067e-01,1.111952421441949390e+00
8.600000000000000000e+01,-4.498730322675912885e-01,1.018402443957129311e+00,1.113341494340119864e+00
8.700000000000000000e+01,-3.989529100697348230e-01,1.040896095570508884e+00,1.114732302495554217e+00
8.800000000000000000e+01,-3.469081052912093566e-01,1.060843741073995705e+00,1.116124848075970233e+00
8.900000000000000000e+01,-2.938659182375095713e-01,1.078189146338556226e+00,1.117519133251793306e+00
9.000000000000000000e+01,-2.399564609205817600e-01,1.092882442250431740e+00,1.118915160196160219e+00
9.100000000000000000e+01,-1.853123388080601674e-01,1.104880265296460884e+00,1.120312931084922914e+00
9.200000000000000000e+01,-1.300683255432371066e-01,1.114145882236863949e+00,1.121712448096650716e+00
9.300000000000000000e+01,-7.436103143139391469e-02,1.120649298514025727e+00,1.123113713412635217e+00
9.400000000000000000e+01,-1.832856650569262419e-02,1.124367350085595518e+00,1.124516729216892497e+00
9.500000000000000000e+01,3.788980099858715173e-02,1.125283778410880231e+00,1.125921497696166895e+00
9.600000000000000000e+01,9.415398991913116744e-02,1.123389288360950866e+00,1.127328021039934569e+00
9.700000000000000000e+01,1.503234543371786969e-01,1.118681588864994358e+00,1.128736301440407264e+00
9.800000000000000000e+01,2.062575337804284092e-01,1.111165416148135465e+00,1.130146341092534534e+00
9.900000000000000000e+01,2.618158045878351547e-01,1.100852539459113988e+00,1.131558142194008409e+00
1.000000000000000000e+02,3.168584315607908541e-01,1.087761749229722241e+00,1.132971706945265833e+00
1.010000000000000000e+02,3.712465190222769551e-01,1.071918827651682671e+00,1.134387037549493327e+00
1.020000000000000000e+02,4.248424604048610664e-01,1.053356501700568826e+00,1.135804136212628990e+00
1.030000000000000000e+02,4.775102854898894966e-01,1.032114378680325739e+00,1.137223005143367160e+00
1.040000000000000000e+02,5.291160044239058280e-01,1.008238864405831325e+00,1.138643646553160638e+00
1.050000000000000000e+02,5.795279476441973499e-01,9.817830641846360118e-01,1.140066062656225565e+00
1.060000000000000000e+02,6.286171008534291449e-01,9.528066668024260943e-01,1.141490255669543430e+00
1.070000000000000000e+02,6.762574341935504441e-01,9.213758117597545816e-01,1.142916227812865948e+00
1.080000000000000000e+02,7.223262247815381842e-01,8.875629400500770760e-01,1.144343981308717284e+00
1.090000000000000000e+02,7.667043717840420491e-01,8.514466288110001946e-01,1.145773518382398271e+00
1.100000000000000000e+02,8.092767032245921088e-01,8.131114102217981143e-01,1.147204841261989072e+00
1.110000000000000000e+02,8.499322737356820312e-01,7.726475750605684700e-01,1.148637952178354293e+00
1.120000000000000000e+02,8.885646524887104158e-01,7.301509613737843241e-01,1.150072853365144088e+00
1.130000000000000000e+02,9.250722005573995821e-01,6.857227287493488088e-01,1.151509547058799932e+00
1.140000000000000000e+02,9.593583369948670558e-01,6.394691187214788242e-01,1.152948035498557067e+00
1.150000000000000000e+02,9.913317929309409804e-01,5.915012018717354936e-01,1.154388320926446942e+00
1.160000000000000000e+02,1.020906853024527772e+00,5.419346122251884612e-01,1.155830405587303433e+00
1.170000000000000000e+02,1.048003583635787272e+00,4.908892695739620615e-01,1.157274291728763282e+00
1.180000000000000000e+02,1.072548047114485481e+00,4.384890903921727090e-01,1.158719981601271876e+00
1.190000000000000000e+02,1.094472501634094153e+00,3.848616880364484349e-01,1.160167477458085239e+00
1.200000000000000000e+02,1.113715586035916472e+00,3.301380629547437384e-01,1.161616781555274924e+00
1.210000000000000000e+02,1.130222489183653645e+00,2.744522836529479370e-01,1.163067896151730451e+00
1.220000000000000000e+02,1.143945103366301064e+00,2.179411591937652493e-01,1.164520823509163083e+00
1.230000000000000000e+02,1.154842161325989380e+00,1.607439040254501905e-01,1.165975565892109822e+00
1.240000000000000000e+02,1.162879356527261931e+00,1.030017959591507104e-01,1.167432125567936074e+00
1.250000000000000000e+02,1.168029446325219434e+00,4.485782813278760967e-02,1.168890504806840092e+00
1.260000000000000000e+02,1.170272337731858903e+00,-1.354364418347336202e-02,1.170350705881856079e+00
1.270000000000000000e+02,1.169595155522685337e+00,-7.205726107006631131e-02,1.171812731068857305e+00
1.280000000000000000e+02,1.165992292469182123e+00,-1.305370188462005865e-01,1.173276582646560762e+00
1.290000000000000000e+02,1.159465441526872143e+00,-1.888366334696597038e-01,1.174742262896529610e+00
1.300000000000000000e+02,1.150023609853389139e+00,-2.468099055460033220e-01,1.176209774103177397e+00
1.310000000000000000e+02,1.137683114576089061e+00,-3.043110860386727956e-01,1.177679118553770943e+00
1.320000000000000000e+02,1.122467560274155396e+00,-3.611952417674772486e-01,1.179150298538435226e+00
1.330000000000000000e+02,1.104407798185781608e+00,-4.173186197811850073e-01,1.180623316350155605e+00
1.340000000000000000e+02,1.083541867196722297e+00,-4.725390096904740767e-01,1.182098174284781367e+00
1.350000000000000000e+02,1.059914916712198618e+00,-5.267161030503102470e-01,1.183574874641030839e+00
1.360000000000000000e+02,1.033579111559683072e+00,-5.797118488859202001e-01,1.185053419720493384e+00
1.370000000000000000e+02,1.004593519115386968e+00,-6.313908044639043871e-01,1.186533811827633400e+00
1.380000000000000000e+02,9.730239788921917210e-01,-6.816204804196737133e-01,1.188016053269794536e+00
1.390000000000000000e+02,9.389429548712080464e-01,-7.302716793642832771e-01,1.189500146357202359e+00
1.400000000000000000e+02,9.024293709029939103e-01,-7.772188271078437349e-01,1.190986093402969015e+00
1.410000000000000000e+02,8.635684295476017125e-01,-8.223402956529934915e-01,1.192473896723095450e+00
1.420000000000000000e+02,8.224514147649519824e-01,-8.655187171303735383e-01,1.193963558636476519e+00
1.430000000000000000e+02,7.791754789084333055e-01,-9.066412878686211929e-01,1.195455081464903202e+00
1.440000000000000000e+02,7.338434145150022347e-01,-9.456000618140428804e-01,1.196948467533067717e+00
1.450000000000000000e+02,6.865634114243001074e-01,-9.822922325397930310e-01,1.198443719168565513e+00
1.460000000000000000e+02,6.374487997973103948e-01,-1.016620403111007986e+00,1.199940838701900381e+00
1.470000000000000000e+02,5.866177796417599843e-01,-1.048492843100873539e+00,1.201439828466486892e+00
1.480000000000000000e+02,5.341931374867162630e-01,-1.077823732082961561e+00,1.202940690798655066e+00
1.490000000000000000e+02,4.803019508825681627e-01,-1.104533388957297468e+00,1.204443428037653252e+00
1.500000000000000000e+02,4.250752814347033004e-01,-1.128548486501425918e+00,1.205948042525651909e+00
1.510000000000000000e+02,3.686478571096319934e-01,-1.149802250573161100e+00,1.207454536607747375e+00
1.520000000000000000e+02,3.111577445809739495e-01,-1.168234643428642805e+00,1.208962912631966091e+00
1.530000000000000000e+02,2.527460124095418093e-01,-1.183792530657691522e+00,1.210473172949266818e+00
1.540000000000000000e+02,1.935563858766572443e-01,-1.196429831278168709e+00,1.211985319913546189e+00
1.550000000000000000e+02,1.337348943127488199e-01,-1.206107650572001644e+00,1.213499355881640263e+00
1.560000000000000000e+02,7.342951178414873492e-02,-1.212794395287638993e+00,1.215015283213330077e+00
1.570000000000000000e+02,1.278979201976677971e-02,-1.216465870876846322e+00,1.216533104271344090e+00
1.580000000000000000e+02,-4.803350152407553919e-02,-1.217105360477834575e+00,1.218052821421363063e+00
