n,x,y,radius
3.900000000000000000e+01,-3.471401993854554280e-01,-9.291748942305050329e-01,9.919033733674081921e-01
4.000000000000000000e+01,-3.935989440969807074e-01,-9.094949470256560309e-01,9.910101853459726273e-01
4.100000000000000000e+01,-4.390736914482635256e-01,-8.875412624532428296e-01,9.902096743009033419e-01
4.200000000000000000e+01,-4.834507545709256782e-01,-8.633687247246965013e-01,9.895100741922470133e-01
4.300000000000000000e+01,-5.266191908071604644e-01,-8.370377651843384781e-01,9.889185974948495605e-01
4.400000000000000000e+01,-5.684710790663773938e-01,-8.086142112310196195e-01,9.884413540213984328e-01
4.500000000000000000e+01,-6.089017896279284026e-01,-7.781691217496231605e-01,9.880832816401022844e-01
4.600000000000000000e+01,-6.478102457154095717e-01,-7.457786094638526597e-01,9.878480899347312771e-01
4.700000000000000000e+01,-6.850991761886021658e-01,-7.115236506544225792e-01,9.877382176745507225e-01
4.800000000000000000e+01,-7.206753587213232670e-01,-6.754898827183564158e-01,9.877548047582289659e-01
4.900000000000000000e+01,-7.544498528572410878e-01,-6.377673900754943226e-01,9.878976790741137437e-01
5.000000000000000000e+01,-7.863382223610158039e-01,-5.984504789574435213e-01,9.881653584852466699e-01
5.100000000000000000e+01,-8.162607463088880078e-01,-5.576374416419991320e-01,9.885550679075885139e-01
5.200000000000000000e+01,-8.441426183909879200e-01,-5.154303107224497138e-01,9.890627712109247849e-01
5.300000000000000000e+01,-8.699141339271103668e-01,-4.719346040260942177e-01,9.896832174405206795e-01
5.400000000000000000e+01,-8.935108641284150721e-01,-4.272590608196734641e-01,9.904100006401472811e-01
5.500000000000000000e+01,-9.148738171693987509e-01,-3.815153699612034988e-01,9.912356323592995677e-01
5.600000000000000000e+01,-9.339495856674588925e-01,-3.348178906778305208e-01,9.921516257540325956e-01
5.700000000000000000e+01,-9.506904802013503852e-01,-2.872833666677629960e-01,9.931485900455372384e-01
5.800000000000000000e+01,-9.650546485347385461e-01,-2.390306342410260521e-01,9.942163339858055560e-01
5.900000000000000000e+01,-9.770061802467898682e-01,-1.901803252286865531e-01,9.953439768966866330e-01
6.000000000000000000e+01,-9.865151965082241681e-01,-1.408545654032753447e-01,9.965200657972752563e-01
6.100000000000000000e+01,-9.935579247783878909e-01,-9.117666916435594737e-02,9.977326971137324696e-01
6.200000000000000000e+01,-9.981167582366057278e-01,-4.127083125252566098e-02,9.989696414731658036e-01
6.300000000000000000e+01,-1.000180299799231953e+00,8.738183737435942233e-03,1.000218470116159608e+00
6.400000000000000000e+01,-9.997433906123601721e-01,5.872535326805395500e-02,1.001466681517441115e+00
6.500000000000000000e+01,-9.968071229489574581e-01,1.085657094155018376e-01,1.002701826877097746e+00
6.600000000000000000e+01,-9.913788374781823398e-01,1.581346512894109546e-01,1.003911633231738154e+00
6.700000000000000000e+01,-9.834721049137118420e-01,2.073082565350965467e-01,1.005084123032011778e+00
6.800000000000000000e+01,-9.731066920869569925e-01,2.559635911394443908e-01,1.006207729136195939e+00
6.900000000000000000e+01,-9.603085125299847258e-01,3.039790167659436326e-01,1.007271404275700499e+00
7.000000000000000000e+01,-9.451095616916875830e-01,3.512344948505280451e-01,1.008264724154306347e+00
7.100000000000000000e+01,-9.275478369491612085e-01,3.976118866979860833e-01,1.009177983446230220e+00
7.200000000000000000e+01,-9.076672426142619043e-01,4.429952488286991730e-01,1.010002284056713551e+00
7.300000000000000000e+01,-8.855174801728269429e-01,4.872711228373405312e-01,1.010729615101287004e+00
7.400000000000000000e+01,-8.611539240309599164e-01,5.303288190388885104e-01,1.011352924145227705e+00
7.500000000000000000e+01,-8.346374830790155297e-01,5.720606931928392536e-01,1.011866179322515658e+00
7.600000000000000000e+01,-8.060344484193735504e-01,6.123624156138078867e-01,1.012264422023762434e+00
7.700000000000000000e+01,-7.754163276386831782e-01,6.511332319957420234e-01,1.012543809905468883e+00
7.800000000000000000e+01,-7.428596660388960826e-01,6.882762152976867887e-01,1.012701650029231404e+00
7.900000000000000000e+01,-7.084458552740117154e-01,7.236985080613873578e-01,1.012736421990047653e+00
8.000000000000000000e+01,-6.722609298709423253e-01,7.573115545549344851e-01,1.012647790938861148e+00
8.100000000000000000e+01,-6.343953521431956455e-01,7.890313221620942619e-01,1.012436610447168484e+00
8.200000000000000000e+01,-5.949437860350909046e-01,8.187785114638488349e-01,1.012104915202334032e+00
8.300000000000000000e+01,-5.540048604618984518e-01,8.464787544869437630e-01,1.011655903562656666e+00
8.400000000000000000e+01,-5.116809227375512803e-01,8.720628006238213548e-01,1.011093910042689670e+00
8.500000000000000000e+01,-4.680777827063601904e-01,8.954666897591393449e-01,1.010424367843280491e+00
8.600000000000000000e+01,-4.233044482184032398e-01,9.166319121700594597e-01,1.009653761588608312e+00
8.700000000000000000e+01,-3.774728526099002668e-01,9.355055548005544175e-01,1.008789570485415288e+00
8.800000000000000000e+01,-3.306975748698725570e-01,9.520404335440479926e-01,1.007840202178675648e+00
8.900000000000000000e+01,-2.830955531926701574e-01,9.661952112036814588e-01,1.006814917643948259e+00
9.000000000000000000e+01,-2.347857926324860844e-01,9.779345008353057533e-01,1.005723747530137269e+00
9.100000000000000000e+01,-1.858890675907207968e-01,9.872289542148418029e-01,1.004577400447510538e+00
9.200000000000000000e+01,-1.365276198799786900e-01,9.940553352088407069e-01,1.003387163784375202e+00
9.300000000000000000e+01,-8.682485311953665186e-02,9.983965778648175027e-01,1.002164797731095680e+00
9.400000000000000000e+01,-3.690502422629577534e-02,1.000241829076132349e+00,1.000922423290991237e+00
9.500000000000000000e+01,1.310706722751084352e-02,9.995864757147567836e-01,9.996724051623884222e-01
9.600000000000000000e+01,6.308639101324868548e-02,9.964321561640943070e-01,9.984272304824736155e-01
9.700000000000000000e+01,1.129079988214534008e-01,9.907867562230215919e-01,9.971993845288927849e-01
9.800000000000000000e+01,1.624473366326044665e-01,9.826643893913913352e-01,9.960012245760456739e-01
9.900000000000000000e+01,2.115805561021740222e-01,9.720853615862826702e-01,9.948448531961349151e-01
1.000000000000000000e+02,2.601848241814881391e-01,9.590761203772082411e-01,9.937419923763658458e-01
1.010000000000000000e+02,3.081386302003485400e-01,9.436691888671908668e-01,9.927038598892466981e-01
1.020000000000000000e+02,3.553220896437080945e-01,9.259030843850054593e-01,9.917410493987015574e-01
1.030000000000000000e+02,4.016172438629583841e-01,9.058222221918574846e-01,9.908634158069787867e-01
1.040000000000000000e+02,4.469083549725512694e-01,8.834768044432299572e-01,9.900799673427864711e-01
